Date,Problem_Reports,Valid_Errors,Wall_Clock_hours,,Time,Failures
Jan-73,8,7,7.25,1,1,7
Feb-73,22,22,3.17,1,2,29
Mar-73,33,32,7.08,1,3,61
Apr-73,51,47,7.33,1,4,108
May-73,28,26,7.25,1,5,134
Jun-73,26,25,12.58,1,6,159
Jul-73,16,16,19.92,1,7,175
Aug-73,48,48,52.5,1,8,223
Sep-73,39,36,47.18,1,9,259
Oct-73,57,53,95.1,1,10,312
Nov-73,63,57,55.75,1,11,369
Dec-73,43,39,59.25,1,12,408
Jan-74,77,71,43.58,1,13,479
Feb-74,83,80,44.75,1,14,559
Mar-74,68,65,42.33,1,15,624
Apr-74,65,57,75,1,16,681
May-74,96,90,62.83,1,17,771
Jun-74,62,60,73.58,1,18,831
Jul-74,65,57,42.75,1,19,888
Aug-74,97,90,40.67,1,20,978
Sep-74,51,46,96.75,1,21,1024
Oct-74,64,57,88.58,1,22,1081
Nov-74,36,29,56.75,1,23,1110
Dec-74,42,40,79.25,1,24,1150
Jan-75,18,16,73.5,1,25,1166
Feb-75,21,18,65.33,1,26,1184
Mar-75,39,37,67.83,1,27,1221
Apr-75,15,15,116.92,1,28,1236
May-75,8,8,88.08,1,29,1244
Jun-75,28,28,78.08,1,30,1272
Jul-75,7,6,37.92,1,31,1278
Aug-75,5,5,41.08,1,32,1283
Sep-75,3,3,54.5,1,33,1286
Oct-75,3,3,63,1,34,1289
Nov-75,12,12,39.5,1,35,1301
