Time,Failures
1,4
2,4
3,11
4,21
5,34
6,42
7,55
8,59
9,66
10,74
11,75
12,81
13,94
14,101
15,110
16,118
17,123
18,133
19,140
20,151
21,156
22,164
23,177
24,186
25,193
26,200
27,205
28,212
29,218
30,224
31,228
32,240
33,246
34,253
35,261
36,272
37,278
38,287
39,294
40,306
41,318
42,333
43,347
44,354
45,363
46,374
47,379
48,386
49,393
50,407
51,420
52,434
53,445
54,447
55,451
56,455
57,458
58,464
59,470
60,473
61,473
62,473
63,476
64,476
65,480
66,480
67,481
68,483
69,483
70,484
71,486
72,491
73,494
74,496
75,497
76,508
77,509
78,509
79,511
80,513
81,517
82,518
83,518
84,522
85,523
86,524
87,524
88,526
89,536
90,526
91,527
92,528
93,528
94,528
95,528
96,528
97,529
98,529
99,530
100,530
101,530
102,530
103,530
104,532
105,532
106,533
107,533
108,535
109,535
