Time,Frequency,Failures
1,0,0
2,0,0
3,1,1
4,0,1
5,0,1
6,0,1
7,0,1
8,0,1
9,0,1
10,1,2
11,0,2
12,0,2
13,1,3
14,2,5
15,2,7
16,0,7
17,1,8
18,2,10
19,0,10
20,0,10
21,2,12
22,1,13
23,3,16
24,0,16
25,0,16
26,5,21
27,2,23
28,0,23
29,0,23
30,1,24
31,3,27
32,2,29
33,0,29
34,2,31
35,0,31
36,0,31
37,2,33
38,1,34
39,0,34
40,0,34
41,0,34
42,0,34
43,0,34
44,0,34
45,0,34
46,0,34
47,0,34
48,1,35
49,2,37
50,0,37
51,0,37
52,5,42
53,2,44
54,0,44
55,1,45
56,6,51
57,8,59
58,2,61
59,1,62
60,6,68
61,8,76
62,8,84
63,6,90
64,3,93
65,4,97
66,3,100
67,1,101
68,1,102
69,1,103
70,1,104
71,5,109
72,2,111
73,1,112
74,1,113
75,1,114
76,2,116
77,0,116
78,1,117
79,1,118
80,1,119
81,1,120
82,0,120
83,1,121
84,1,122
85,1,123
86,2,125
87,2,127
88,3,130
89,3,133
90,5,138
91,1,139
92,2,141
93,3,144
94,1,145
95,1,146
96,1,147
97,2,149
98,0,149
99,1,150
100,4,154
101,3,157
102,0,157
103,1,158
104,8,166
105,4,170
106,7,177
107,1,178
108,1,179
109,2,181
110,1,182
111,0,182
112,1,183
113,3,186
114,2,188
