Week,Frequency,Time,Failures
1,2,1,2
2,0,2,2
3,2,3,4
4,3,4,7
5,3,5,10
6,6,6,16
7,8,7,24
8,8,8,32
9,12,9,44
10,10,10,54
11,6,11,60
12,5,12,65
13,4,13,69
14,6,14,75
15,10,15,85
16,6,16,91
17,7,17,98
18,10,18,108
19,10,19,118
20,6,20,124
21,2,21,126
22,3,22,129
23,2,23,131
24,3,24,134
25,8,25,142
26,6,26,148
27,7,27,155
28,8,28,163
29,2,29,165
30,3,30,168
31,4,31,172
32,3,32,175
33,3,33,178
34,4,34,182
35,4,35,186
36,5,36,191
37,4,37,195
38,4,38,199
39,5,39,204
40,1,40,205
41,4,41,209
42,8,42,217
43,3,43,220
44,2,44,222
45,6,45,228
46,13,46,241
47,9,47,250
48,6,48,256
49,7,49,263
50,3,50,266
51,3,51,269
52,4,52,273
53,5,53,278
54,6,54,284
55,6,55,290
56,5,56,295
57,5,57,300
58,3,58,303
59,4,59,307
60,8,60,315
61,3,61,318
62,4,62,322
63,5,63,327
64,6,64,333
65,0,65,333
66,4,66,337
67,5,67,342
68,4,68,346
69,5,69,351
70,5,70,356
71,5,71,361
72,3,72,364
73,3,73,367
