Time,Failures
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,7.0
52,7.0
53,7.0
54,8.0
55,8.0
56,11.0
57,11.0
58,13.0
59,13.0
60,14.0
61,14.0
62,14.0
63,14.0
64,19.0
65,19.0
66,19.0
67,19.0
68,23.0
69,26.0
70,26.0
71,26.0
72,26.0
73,26.0
74,27.0
75,27.0
76,27.0
77,27.0
78,27.0
79,27.0
80,27.0
81,27.0
82,27.0
83,28.0
84,28.0
85,31.0
86,31.0
87,31.0
88,31.0
89,31.0
90,31.0
91,31.0
92,31.0
93,31.0
94,31.0
95,31.0
96,31.0
97,31.0
98,33.0
99,35.0
100,35.0
101,35.0
102,35.0
103,35.0
104,35.0
105,35.0
106,35.0
107,35.0
108,35.0
109,35.0
110,35.0
111,35.0
112,35.0
113,35.0
114,35.0
115,35.0
116,35.0
117,35.0
118,35.0
119,35.0
120,35.0
121,35.0
122,35.0
123,35.0
124,35.0
125,35.0
126,35.0
127,35.0
128,35.0
129,35.0
130,35.0
131,36.0
132,36.0
133,38.0
134,38.0
135,40.0
136,40.0
137,40.0
138,40.0
139,40.0
140,40.0
141,40.0
142,40.0
143,40.0
144,40.0
145,45.0
146,45.0
147,45.0
148,45.0
149,45.0
150,45.0
151,45.0
152,45.0
153,45.0
154,45.0
155,45.0
156,45.0
157,45.0
158,45.0
159,45.0
160,46.0
161,55.0
162,64.0
163,67.0
164,67.0
165,67.0
166,67.0
167,71.0
168,71.0
169,73.0
170,73.0
171,73.0
172,73.0
173,75.0
174,75.0
175,75.0
176,75.0
177,75.0
178,75.0
179,75.0
180,75.0
181,75.0
182,75.0
183,75.0
184,75.0
185,75.0
186,75.0
187,75.0
188,85.0
189,95.0
190,97.0
191,97.0
192,97.0
193,97.0
194,103.0
195,103.0
196,108.0
197,108.0
198,108.0
199,108.0
200,108.0
201,108.0
202,108.0
