Time,Failures,Frequency,Testers
1,5,5,4
2,10,5,4
3,15,5,4
4,20,5,4
5,26,6,4
6,34,8,5
7,36,2,5
8,43,7,5
9,47,4,5
10,49,2,5
11,80,31,5
12,84,4,5
13,108,24,5
14,157,49,5
15,171,14,5
16,183,12,5
17,191,8,5
18,200,9,5
19,204,4,5
20,211,7,5
21,217,6,5
22,226,9,5
23,230,4,5
24,234,4,5
25,236,2,5
26,240,4,5
27,243,3,5
28,252,9,6
29,254,2,6
30,259,5,6
31,263,4,6
32,264,1,6
33,268,4,6
34,271,3,6
35,277,6,6
36,290,13,6
37,309,19,8
38,324,15,8
39,331,7,8
40,346,15,8
41,367,21,8
42,375,8,8
43,381,6,8
44,401,20,8
45,411,10,8
46,414,3,8
47,417,3,8
48,425,8,4
49,430,5,4
50,431,1,4
51,433,2,4
52,435,2,4
53,437,2,4
54,444,7,4
55,446,2,4
56,446,0,4
57,448,2,4
58,451,3,4
59,453,2,4
60,460,7,4
61,463,3,4
62,463,0,4
63,464,1,4
64,464,0,4
65,465,1,4
66,465,0,3
67,465,0,3
68,466,1,3
69,467,1,3
70,467,0,3
71,467,0,3
72,468,1,3
73,469,1,4
74,469,0,4
75,469,0,4
76,469,0,4
77,470,1,4
78,472,2,2
79,472,0,2
80,473,1,2
81,473,0,2
82,473,0,2
83,473,0,2
84,473,0,2
85,473,0,2
86,473,0,2
87,475,2,2
88,475,0,2
89,475,0,2
90,475,0,2
91,475,0,2
92,475,0,2
93,475,0,2
94,475,0,2
95,475,0,2
96,476,1,2
97,476,0,2
98,476,0,2
99,476,0,2
100,477,1,2
101,477,0,1
102,477,0,1
103,478,1,1
104,478,0,1
105,478,0,1
106,479,1,1
107,479,0,1
108,479,0,1
109,480,1,1
110,480,0,1
111,481,1,1
