Time,Failures
0,1
20,3
36,4
43,5
82,6
134,11
144,16
145,17
151,18
159,20
173,24
175,32
182,35
193,38
207,39
209,42
210,43
216,44
221,45
224,47
229,50
230,51
235,56
238,58
251,59
253,60
256,64
258,65
259,66
263,70
265,71
272,72
285,74
288,75
293,76
299,77
306,78
313,79
319,80
322,82
327,84
334,85
337,86
348,88
349,90
350,91
354,93
361,94
370,95
371,96
374,98
376,100
398,101
406,102
414,103
417,104
418,105
419,106
420,107
421,108
424,110
426,111
427,114
431,116
434,117
438,119
439,122
445,123
447,126
450,127
454,128
460,130
462,131
464,132
467,133
468,134
469,136
470,138
473,139
484,140
491,141
494,142
496,144
502,145
503,146
508,147
510,149
511,150
514,151
515,153
516,154
518,155
519,158
520,159
524,161
525,163
526,164
529,165
530,167
531,168
532,169
534,170
536,171
537,172
538,174
539,175
540,177
541,179
544,183
545,185
546,187
547,190
549,191
550,192
552,195
553,196
554,197
557,199
559,200
560,201
562,202
564,203
565,204
566,205
567,214
568,215
569,217
570,218
571,219
572,221
573,223
575,224
577,225
580,229
583,230
585,232
592,237
593,240
594,245
596,248
597,249
599,255
600,260
601,263
602,264
606,265
607,267
609,268
620,270
624,272
625,273
630,274
631,275
633,276
641,277
642,279
645,282
649,283
650,284
651,285
652,286
655,287
657,288
658,290
662,291
664,295
669,296
674,297
676,298
677,299
683,300
684,301
685,302
691,303
693,308
696,309
698,312
699,313
701,314
705,315
707,316
711,317
713,318
715,320
716,321
720,322
725,324
726,325
728,326
732,327
733,329
735,330
740,331
741,332
743,333
748,335
750,336
